epsilon,k2,k5,k10,k50,k200
0.000000000000000000e+00,7.529255454327899999e-01,9.986176689899389780e-01,9.999993752997493601e-01,9.999999999999998890e-01,9.999999999999998890e-01
2.000000000000000042e-02,7.513427910515138031e-01,9.986010042113867557e-01,9.999993454936194626e-01,9.999999999999998890e-01,9.999999999999998890e-01
4.000000000000000083e-02,7.464385217268850736e-01,9.985505825793529189e-01,9.999992532307924176e-01,9.999999999999998890e-01,9.999999999999998890e-01
5.999999999999999778e-02,7.376803901726628476e-01,9.984651087676617021e-01,9.999990897064422457e-01,9.999999999999998890e-01,9.999999999999998890e-01
8.000000000000000167e-02,3.512091974659342555e-03,9.983423784187027694e-01,9.999988393148681043e-01,9.999999999999998890e-01,1.000000000000000000e+00
1.000000000000000056e-01,1.027557813662214334e-03,9.981792074397526360e-01,9.999984781597273109e-01,9.999999999999998890e-01,1.000000000000000000e+00
1.199999999999999956e-01,7.512857814870429118e-04,9.979713278049617831e-01,9.999979717725701045e-01,9.999999999999998890e-01,1.000000000000000000e+00
1.400000000000000133e-01,1.321309815683869302e-03,9.977132440332793228e-01,9.999972718215318634e-01,9.999999999999998890e-01,1.000000000000000000e+00
1.600000000000000033e-01,1.052761412111254992e-03,9.973980418552355065e-01,9.999963114952284959e-01,1.000000000000000222e+00,1.000000000000000000e+00
1.799999999999999933e-01,1.222547834350039189e-03,9.970171369587123023e-01,9.999949991197932819e-01,1.000000000000000222e+00,1.000000000000000000e+00
2.000000000000000111e-01,2.703928242681042878e-04,9.965599465891977760e-01,9.999932093969947644e-01,1.000000000000000222e+00,1.000000000000000222e+00
2.200000000000000011e-01,1.071221999532463113e-03,9.960134593410807646e-01,9.999907714218612131e-01,1.000000000000000222e+00,1.000000000000000222e+00
2.399999999999999911e-01,9.431861511711561513e-04,9.953616673561526129e-01,9.999874523262679560e-01,1.000000000000000222e+00,1.000000000000000222e+00
2.600000000000000089e-01,9.072519396772454978e-04,9.945848080604147157e-01,9.999829349688761360e-01,1.000000000000000222e+00,1.000000000000000222e+00
2.800000000000000266e-01,9.859556030713324034e-04,9.936583355525915318e-01,9.999767875076807089e-01,1.000000000000000222e+00,1.000000000000000222e+00
2.999999999999999889e-01,5.616994441290967029e-04,9.925514976583752480e-01,9.999684218870501518e-01,1.000000000000000222e+00,1.000000000000000222e+00
3.200000000000000067e-01,7.865209970550630491e-04,9.912253200677567655e-01,9.999570371580910333e-01,1.000000000000000222e+00,1.000000000000000222e+00
3.400000000000000244e-01,3.668821727285972827e-04,9.896296674997581144e-01,9.999415420011459332e-01,1.000000000000000222e+00,1.000000000000000222e+00
3.599999999999999867e-01,8.816674892353390221e-04,9.876988087122806625e-01,9.999204486433558303e-01,1.000000000000000222e+00,1.000000000000000222e+00
3.800000000000000044e-01,8.889160146455527944e-04,9.853444360512312317e-01,9.998917272774575649e-01,1.000000000000000222e+00,1.000000000000000222e+00
4.000000000000000222e-01,8.684654829406067899e-04,9.824440904618960690e-01,9.998526056501871873e-01,1.000000000000000222e+00,1.000000000000000222e+00
4.199999999999999845e-01,5.962393306589572816e-04,9.788206525281777370e-01,9.997992919989368010e-01,1.000000000000000222e+00,1.000000000000000222e+00
4.400000000000000022e-01,1.090164498630090281e-04,9.742026886592194401e-01,9.997265898223027802e-01,1.000000000000000222e+00,1.000000000000000222e+00
4.600000000000000200e-01,8.517581498118352318e-04,9.681379132524520204e-01,9.996273581141151832e-01,1.000000000000000222e+00,1.000000000000000222e+00
4.799999999999999822e-01,1.472202962064974436e-04,9.597666694078905714e-01,9.994917472081665810e-01,1.000000000000000222e+00,1.000000000000000222e+00
5.000000000000000000e-01,5.419948726443546329e-04,1.176273486349034732e-02,9.993061018966419295e-01,1.000000000000000222e+00,1.000000000000000222e+00
5.200000000000000178e-01,8.085213245007550221e-04,7.405947052667197173e-04,9.990513577251890487e-01,1.000000000000000222e+00,1.000000000000000222e+00
5.400000000000000355e-01,8.006696490481105596e-04,7.498106368103124413e-04,9.987006384817309623e-01,9.999999999999991118e-01,1.000000000000000222e+00
5.600000000000000533e-01,7.923461841703701228e-04,1.493826321845698711e-03,9.982155395506038253e-01,9.999999999999970024e-01,1.000000000000000222e+00
5.799999999999999600e-01,5.114621708334937981e-04,2.185336824066230581e-03,9.975401302892785704e-01,9.999999999999855671e-01,1.000000000000000222e+00
5.999999999999999778e-01,2.058722150148507965e-04,1.061700201088403364e-03,9.965907214690725713e-01,9.999999999999347189e-01,1.000000000000000222e+00
6.199999999999999956e-01,7.793941532535800590e-04,1.189772181926652961e-03,9.952370634807237160e-01,9.999999999996973532e-01,1.000000000000000222e+00
6.400000000000000133e-01,1.297060749017550673e-05,1.188981820673279313e-03,6.687691642884367434e-04,9.999999999985887955e-01,1.000000000000000222e+00
6.600000000000000311e-01,7.206587903767372547e-04,3.350768863431490864e-03,5.011120890554077514e-04,5.534233347029771837e-04,1.000000000000000222e+00
6.800000000000000488e-01,6.489335452090509498e-04,1.923156426006806521e-03,5.095665348235770605e-04,5.292616320985623485e-04,9.999999999999997780e-01
7.000000000000000666e-01,3.807890289794123241e-04,6.444124213882963500e-04,5.867965898696504094e-04,9.999999998574685689e-01,5.291502622130139300e-04
7.199999999999999734e-01,2.405502325196315523e-04,6.405268227465408040e-04,5.813846302309472929e-04,5.291556644537658916e-04,5.291502622130090511e-04
7.399999999999999911e-01,1.448283109686091831e-04,6.365285538119725469e-04,6.353324719142842969e-04,5.291514147267817282e-04,5.291502622130090511e-04
7.600000000000000089e-01,7.294233908095677441e-04,6.322970938226013613e-04,6.271485834754215224e-04,5.291505067707514892e-04,5.291502622130090511e-04
7.800000000000000266e-01,7.195657920041547773e-04,6.278198145463016657e-04,6.839985089260556010e-04,5.291503138406724585e-04,5.291502622130090511e-04
8.000000000000000444e-01,3.475258576285469056e-04,5.015961832765498474e-04,5.198133245837374293e-04,5.291502730388648879e-04,5.291502622130090511e-04
8.200000000000000622e-01,5.140914056976086943e-04,5.022354784621629745e-04,6.090746225256760040e-04,5.291502644616779671e-04,5.291502622130090511e-04
8.399999999999999689e-01,5.028945675907077646e-04,5.022926292296848441e-04,5.275543234938821378e-04,5.291502626737591957e-04,5.291502622130090511e-04
8.599999999999999867e-01,5.475246720432336419e-04,1.009541733084981475e-03,5.282467548639814461e-04,5.291502623054694871e-04,5.291502622130090511e-04
8.800000000000000044e-01,2.442026356335830445e-04,4.952503259179619199e-04,5.285749756835174569e-04,5.291502622310088671e-04,5.291502622130090511e-04
9.000000000000000222e-01,6.259884472679667607e-04,8.276977413224715762e-04,5.287544172945442831e-04,5.291502622163766914e-04,5.291502622130090511e-04
9.200000000000000400e-01,6.057676839057244810e-04,9.626919506334398078e-04,5.288618866184282424e-04,5.291502622135793414e-04,5.291502622130090511e-04
9.400000000000000577e-01,4.188213796865733539e-04,5.318506334522991874e-02,5.289312934524623708e-04,5.291502622131735245e-04,5.291502622130090511e-04
9.599999999999999645e-01,2.413935826276725996e-04,6.237457680730643366e-04,5.289791728704030561e-04,5.291502622130373487e-04,5.291502622130090511e-04
9.799999999999999822e-01,1.876551618265998413e-04,2.948628178802343170e-03,5.290140769003094309e-04,5.291502622130439624e-04,5.291502622130090511e-04
1.000000000000000000e+00,2.525756838920241746e-04,3.913347464594319793e-03,5.290406336748582896e-04,5.291502622130385414e-04,5.291502622130090511e-04
