degree,epsilon,m_psi
2.000000000000000000e+00,0.000000000000000000e+00,3.953920000000000212e-01
2.000000000000000000e+00,4.000000000000000083e-02,4.061500000000000110e-01
2.000000000000000000e+00,8.000000000000000167e-02,8.661469999999999239e-03
2.000000000000000000e+00,1.199999999999999956e-01,5.453949999999999770e-02
2.000000000000000000e+00,1.600000000000000033e-01,3.014419999999999947e-02
2.000000000000000000e+00,2.000000000000000111e-01,2.589019999999999863e-02
2.000000000000000000e+00,2.399999999999999911e-01,6.027850000000000395e-03
2.000000000000000000e+00,2.800000000000000266e-01,1.203850000000000059e-02
2.000000000000000000e+00,3.200000000000000067e-01,6.226299999999999717e-03
2.000000000000000000e+00,3.599999999999999867e-01,8.888280000000000139e-03
2.000000000000000000e+00,4.000000000000000222e-01,9.615379999999999761e-03
2.000000000000000000e+00,4.400000000000000022e-01,2.558959999999999881e-03
2.000000000000000000e+00,4.799999999999999822e-01,3.416619999999999987e-03
2.000000000000000000e+00,5.200000000000000178e-01,9.740379999999999872e-04
2.000000000000000000e+00,5.600000000000000533e-01,7.508860000000000014e-03
2.000000000000000000e+00,5.999999999999999778e-01,4.398029999999999821e-03
2.000000000000000000e+00,6.400000000000000133e-01,5.000329999999999879e-03
2.000000000000000000e+00,6.800000000000000488e-01,6.662780000000000091e-03
2.000000000000000000e+00,7.199999999999999734e-01,2.295360000000000195e-03
2.000000000000000000e+00,7.600000000000000089e-01,1.157749999999999925e-03
2.000000000000000000e+00,8.000000000000000444e-01,2.870629999999999883e-03
2.000000000000000000e+00,8.399999999999999689e-01,1.933000000000000039e-03
2.000000000000000000e+00,8.800000000000000044e-01,1.160030000000000045e-03
2.000000000000000000e+00,9.200000000000000400e-01,1.557800000000000027e-03
2.000000000000000000e+00,9.599999999999999645e-01,4.887589999999999600e-04
2.000000000000000000e+00,1.000000000000000000e+00,3.452939999999999829e-03
4.000000000000000000e+00,0.000000000000000000e+00,9.229279999999999706e-01
4.000000000000000000e+00,4.000000000000000083e-02,9.207549999999999901e-01
4.000000000000000000e+00,8.000000000000000167e-02,9.171059999999999768e-01
4.000000000000000000e+00,1.199999999999999956e-01,9.122639999999999638e-01
4.000000000000000000e+00,1.600000000000000033e-01,9.006290000000000129e-01
4.000000000000000000e+00,2.000000000000000111e-01,8.849970000000000336e-01
4.000000000000000000e+00,2.399999999999999911e-01,1.632649999999999935e-01
4.000000000000000000e+00,2.800000000000000266e-01,1.859629999999999964e-02
4.000000000000000000e+00,3.200000000000000067e-01,2.322159999999999849e-02
4.000000000000000000e+00,3.599999999999999867e-01,1.879439999999999930e-02
4.000000000000000000e+00,4.000000000000000222e-01,2.147220000000000031e-03
4.000000000000000000e+00,4.400000000000000022e-01,5.045980000000000257e-03
4.000000000000000000e+00,4.799999999999999822e-01,8.570390000000000646e-03
4.000000000000000000e+00,5.200000000000000178e-01,3.571229999999999891e-03
4.000000000000000000e+00,5.600000000000000533e-01,2.775660000000000106e-03
4.000000000000000000e+00,5.999999999999999778e-01,1.676289999999999985e-03
4.000000000000000000e+00,6.400000000000000133e-01,5.140839999999999820e-03
4.000000000000000000e+00,6.800000000000000488e-01,3.985360000000000291e-03
4.000000000000000000e+00,7.199999999999999734e-01,4.001310000000000110e-03
4.000000000000000000e+00,7.600000000000000089e-01,3.297759999999999841e-03
4.000000000000000000e+00,8.000000000000000444e-01,2.438389999999999915e-03
4.000000000000000000e+00,8.399999999999999689e-01,2.726010000000000065e-03
4.000000000000000000e+00,8.800000000000000044e-01,1.523899999999999907e-03
4.000000000000000000e+00,9.200000000000000400e-01,2.020940000000000149e-03
4.000000000000000000e+00,9.599999999999999645e-01,2.110480000000000082e-03
4.000000000000000000e+00,1.000000000000000000e+00,3.987580000000000117e-03
6.000000000000000000e+00,0.000000000000000000e+00,9.811050000000000049e-01
6.000000000000000000e+00,4.000000000000000083e-02,9.805549999999999544e-01
6.000000000000000000e+00,8.000000000000000167e-02,9.800240000000000062e-01
6.000000000000000000e+00,1.199999999999999956e-01,9.793129999999999891e-01
6.000000000000000000e+00,1.600000000000000033e-01,9.779999999999999805e-01
6.000000000000000000e+00,2.000000000000000111e-01,9.759419999999999762e-01
6.000000000000000000e+00,2.399999999999999911e-01,9.728710000000000413e-01
6.000000000000000000e+00,2.800000000000000266e-01,9.688970000000000082e-01
6.000000000000000000e+00,3.200000000000000067e-01,9.602840000000000265e-01
6.000000000000000000e+00,3.599999999999999867e-01,9.424360000000000515e-01
6.000000000000000000e+00,4.000000000000000222e-01,3.019259999999999999e-02
6.000000000000000000e+00,4.400000000000000022e-01,9.439960000000000712e-03
6.000000000000000000e+00,4.799999999999999822e-01,9.739690000000000500e-03
6.000000000000000000e+00,5.200000000000000178e-01,4.840090000000000017e-03
6.000000000000000000e+00,5.600000000000000533e-01,2.781399999999999845e-03
6.000000000000000000e+00,5.999999999999999778e-01,5.755800000000000152e-03
6.000000000000000000e+00,6.400000000000000133e-01,2.327169999999999933e-03
6.000000000000000000e+00,6.800000000000000488e-01,2.385490000000000093e-03
6.000000000000000000e+00,7.199999999999999734e-01,2.082549999999999853e-03
6.000000000000000000e+00,7.600000000000000089e-01,4.089520000000000134e-03
6.000000000000000000e+00,8.000000000000000444e-01,1.067479999999999991e-03
6.000000000000000000e+00,8.399999999999999689e-01,1.650360000000000021e-03
6.000000000000000000e+00,8.800000000000000044e-01,2.068159999999999877e-03
6.000000000000000000e+00,9.200000000000000400e-01,1.902239999999999921e-03
6.000000000000000000e+00,9.599999999999999645e-01,6.198049999999999653e-04
6.000000000000000000e+00,1.000000000000000000e+00,1.841699999999999934e-03
8.000000000000000000e+00,0.000000000000000000e+00,9.953729999999999523e-01
8.000000000000000000e+00,4.000000000000000083e-02,9.953159999999999785e-01
8.000000000000000000e+00,8.000000000000000167e-02,9.951550000000000118e-01
8.000000000000000000e+00,1.199999999999999956e-01,9.948240000000000416e-01
8.000000000000000000e+00,1.600000000000000033e-01,9.942860000000000031e-01
8.000000000000000000e+00,2.000000000000000111e-01,9.936310000000000420e-01
8.000000000000000000e+00,2.399999999999999911e-01,9.927690000000000126e-01
8.000000000000000000e+00,2.800000000000000266e-01,9.915059999999999985e-01
8.000000000000000000e+00,3.200000000000000067e-01,9.902140000000000386e-01
8.000000000000000000e+00,3.599999999999999867e-01,9.879719999999999613e-01
8.000000000000000000e+00,4.000000000000000222e-01,9.845409999999999995e-01
8.000000000000000000e+00,4.400000000000000022e-01,9.790619999999999878e-01
8.000000000000000000e+00,4.799999999999999822e-01,5.755960000000000069e-03
8.000000000000000000e+00,5.200000000000000178e-01,4.055910000000000244e-03
8.000000000000000000e+00,5.600000000000000533e-01,2.652670000000000201e-03
8.000000000000000000e+00,5.999999999999999778e-01,3.295139999999999788e-03
8.000000000000000000e+00,6.400000000000000133e-01,3.320299999999999987e-03
8.000000000000000000e+00,6.800000000000000488e-01,4.424309999999999875e-03
8.000000000000000000e+00,7.199999999999999734e-01,5.117230000000000389e-03
8.000000000000000000e+00,7.600000000000000089e-01,5.169179999999999999e-04
8.000000000000000000e+00,8.000000000000000444e-01,3.178359999999999974e-04
8.000000000000000000e+00,8.399999999999999689e-01,2.378910000000000139e-03
8.000000000000000000e+00,8.800000000000000044e-01,5.522209999999999619e-03
8.000000000000000000e+00,9.200000000000000400e-01,4.880330000000000215e-04
8.000000000000000000e+00,9.599999999999999645e-01,9.832610000000000308e-04
8.000000000000000000e+00,1.000000000000000000e+00,3.066510000000000156e-03
1.000000000000000000e+01,0.000000000000000000e+00,9.990059999999999496e-01
1.000000000000000000e+01,4.000000000000000083e-02,9.988780000000000436e-01
1.000000000000000000e+01,8.000000000000000167e-02,9.988380000000000036e-01
1.000000000000000000e+01,1.199999999999999956e-01,9.987279999999999491e-01
1.000000000000000000e+01,1.600000000000000033e-01,9.986040000000000472e-01
1.000000000000000000e+01,2.000000000000000111e-01,9.984030000000000404e-01
1.000000000000000000e+01,2.399999999999999911e-01,9.982459999999999667e-01
1.000000000000000000e+01,2.800000000000000266e-01,9.979109999999999925e-01
1.000000000000000000e+01,3.200000000000000067e-01,9.973859999999999948e-01
1.000000000000000000e+01,3.599999999999999867e-01,9.968569999999999931e-01
1.000000000000000000e+01,4.000000000000000222e-01,9.960179999999999589e-01
1.000000000000000000e+01,4.400000000000000022e-01,9.946000000000000396e-01
1.000000000000000000e+01,4.799999999999999822e-01,9.926530000000000076e-01
1.000000000000000000e+01,5.200000000000000178e-01,1.223600000000000035e-02
1.000000000000000000e+01,5.600000000000000533e-01,6.504819999999999700e-03
1.000000000000000000e+01,5.999999999999999778e-01,3.427030000000000180e-03
1.000000000000000000e+01,6.400000000000000133e-01,3.971470000000000382e-03
1.000000000000000000e+01,6.800000000000000488e-01,2.802339999999999953e-03
1.000000000000000000e+01,7.199999999999999734e-01,3.817919999999999821e-03
1.000000000000000000e+01,7.600000000000000089e-01,3.150940000000000078e-03
1.000000000000000000e+01,8.000000000000000444e-01,2.394840000000000076e-03
1.000000000000000000e+01,8.399999999999999689e-01,2.273280000000000027e-04
1.000000000000000000e+01,8.800000000000000044e-01,1.765389999999999928e-03
1.000000000000000000e+01,9.200000000000000400e-01,1.581109999999999937e-03
1.000000000000000000e+01,9.599999999999999645e-01,2.563059999999999818e-03
1.000000000000000000e+01,1.000000000000000000e+00,1.494300000000000055e-03
1.200000000000000000e+01,0.000000000000000000e+00,9.998230000000000173e-01
1.200000000000000000e+01,4.000000000000000083e-02,9.998089999999999478e-01
1.200000000000000000e+01,8.000000000000000167e-02,9.998329999999999718e-01
1.200000000000000000e+01,1.199999999999999956e-01,9.997960000000000180e-01
1.200000000000000000e+01,1.600000000000000033e-01,9.997489999999999988e-01
1.200000000000000000e+01,2.000000000000000111e-01,9.996479999999999810e-01
1.200000000000000000e+01,2.399999999999999911e-01,9.995979999999999865e-01
1.200000000000000000e+01,2.800000000000000266e-01,9.995249999999999968e-01
1.200000000000000000e+01,3.200000000000000067e-01,9.994110000000000493e-01
1.200000000000000000e+01,3.599999999999999867e-01,9.992299999999999516e-01
1.200000000000000000e+01,4.000000000000000222e-01,9.989660000000000206e-01
1.200000000000000000e+01,4.400000000000000022e-01,9.984300000000000397e-01
1.200000000000000000e+01,4.799999999999999822e-01,9.976300000000000168e-01
1.200000000000000000e+01,5.200000000000000178e-01,9.966639999999999944e-01
1.200000000000000000e+01,5.600000000000000533e-01,1.870619999999999922e-02
1.200000000000000000e+01,5.999999999999999778e-01,4.320659999999999605e-03
1.200000000000000000e+01,6.400000000000000133e-01,3.124510000000000048e-03
1.200000000000000000e+01,6.800000000000000488e-01,2.294120000000000187e-03
1.200000000000000000e+01,7.199999999999999734e-01,3.841769999999999994e-03
1.200000000000000000e+01,7.600000000000000089e-01,2.264990000000000146e-03
1.200000000000000000e+01,8.000000000000000444e-01,3.808479999999999938e-03
1.200000000000000000e+01,8.399999999999999689e-01,1.757400000000000108e-03
1.200000000000000000e+01,8.800000000000000044e-01,2.495579999999999847e-03
1.200000000000000000e+01,9.200000000000000400e-01,2.630840000000000175e-03
1.200000000000000000e+01,9.599999999999999645e-01,1.587740000000000028e-03
1.200000000000000000e+01,1.000000000000000000e+00,2.455660000000000134e-04
1.400000000000000000e+01,0.000000000000000000e+00,9.999730000000000008e-01
1.400000000000000000e+01,4.000000000000000083e-02,9.999630000000000463e-01
1.400000000000000000e+01,8.000000000000000167e-02,9.999130000000000518e-01
1.400000000000000000e+01,1.199999999999999956e-01,9.999059999999999615e-01
1.400000000000000000e+01,1.600000000000000033e-01,9.999099999999999655e-01
1.400000000000000000e+01,2.000000000000000111e-01,9.999000000000000110e-01
1.400000000000000000e+01,2.399999999999999911e-01,9.998860000000000525e-01
1.400000000000000000e+01,2.800000000000000266e-01,9.998829999999999663e-01
1.400000000000000000e+01,3.200000000000000067e-01,9.998629999999999463e-01
1.400000000000000000e+01,3.599999999999999867e-01,9.998489999999999878e-01
1.400000000000000000e+01,4.000000000000000222e-01,9.997089999999999588e-01
1.400000000000000000e+01,4.400000000000000022e-01,9.996220000000000105e-01
1.400000000000000000e+01,4.799999999999999822e-01,9.993739999999999846e-01
1.400000000000000000e+01,5.200000000000000178e-01,9.990689999999999849e-01
1.400000000000000000e+01,5.600000000000000533e-01,9.984330000000000149e-01
1.400000000000000000e+01,5.999999999999999778e-01,6.480869999999999687e-03
1.400000000000000000e+01,6.400000000000000133e-01,1.931820000000000108e-03
1.400000000000000000e+01,6.800000000000000488e-01,4.938220000000000109e-03
1.400000000000000000e+01,7.199999999999999734e-01,3.427840000000000140e-03
1.400000000000000000e+01,7.600000000000000089e-01,2.116400000000000052e-03
1.400000000000000000e+01,8.000000000000000444e-01,7.422299999999999731e-04
1.400000000000000000e+01,8.399999999999999689e-01,8.877450000000000055e-04
1.400000000000000000e+01,8.800000000000000044e-01,1.765459999999999946e-03
1.400000000000000000e+01,9.200000000000000400e-01,2.770149999999999869e-03
1.400000000000000000e+01,9.599999999999999645e-01,9.930699999999999771e-04
1.400000000000000000e+01,1.000000000000000000e+00,1.784669999999999920e-03
1.600000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.600000000000000000e+01,4.000000000000000083e-02,1.000000000000000000e+00
1.600000000000000000e+01,8.000000000000000167e-02,1.000000000000000000e+00
1.600000000000000000e+01,1.199999999999999956e-01,1.000000000000000000e+00
1.600000000000000000e+01,1.600000000000000033e-01,1.000000000000000000e+00
1.600000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
1.600000000000000000e+01,2.399999999999999911e-01,1.000000000000000000e+00
1.600000000000000000e+01,2.800000000000000266e-01,1.000000000000000000e+00
1.600000000000000000e+01,3.200000000000000067e-01,9.999970000000000248e-01
1.600000000000000000e+01,3.599999999999999867e-01,9.999829999999999552e-01
1.600000000000000000e+01,4.000000000000000222e-01,9.999700000000000255e-01
1.600000000000000000e+01,4.400000000000000022e-01,9.999029999999999863e-01
1.600000000000000000e+01,4.799999999999999822e-01,9.998390000000000333e-01
1.600000000000000000e+01,5.200000000000000178e-01,9.996350000000000513e-01
1.600000000000000000e+01,5.600000000000000533e-01,9.994579999999999576e-01
1.600000000000000000e+01,5.999999999999999778e-01,7.976020000000000332e-03
1.600000000000000000e+01,6.400000000000000133e-01,4.461579999999999713e-03
1.600000000000000000e+01,6.800000000000000488e-01,4.557280000000000358e-03
1.600000000000000000e+01,7.199999999999999734e-01,1.825500000000000083e-03
1.600000000000000000e+01,7.600000000000000089e-01,4.187080000000000142e-03
1.600000000000000000e+01,8.000000000000000444e-01,3.265590000000000073e-03
1.600000000000000000e+01,8.399999999999999689e-01,2.064959999999999799e-03
1.600000000000000000e+01,8.800000000000000044e-01,2.158150000000000172e-03
1.600000000000000000e+01,9.200000000000000400e-01,8.053580000000000504e-04
1.600000000000000000e+01,9.599999999999999645e-01,1.438250000000000075e-03
1.600000000000000000e+01,1.000000000000000000e+00,2.418239999999999886e-03
1.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000000e+01,4.000000000000000083e-02,1.000000000000000000e+00
1.800000000000000000e+01,8.000000000000000167e-02,1.000000000000000000e+00
1.800000000000000000e+01,1.199999999999999956e-01,1.000000000000000000e+00
1.800000000000000000e+01,1.600000000000000033e-01,1.000000000000000000e+00
1.800000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
1.800000000000000000e+01,2.399999999999999911e-01,1.000000000000000000e+00
1.800000000000000000e+01,2.800000000000000266e-01,1.000000000000000000e+00
1.800000000000000000e+01,3.200000000000000067e-01,1.000000000000000000e+00
1.800000000000000000e+01,3.599999999999999867e-01,9.999930000000000208e-01
1.800000000000000000e+01,4.000000000000000222e-01,9.999700000000000255e-01
1.800000000000000000e+01,4.400000000000000022e-01,9.999230000000000063e-01
1.800000000000000000e+01,4.799999999999999822e-01,9.999230000000000063e-01
1.800000000000000000e+01,5.200000000000000178e-01,9.999059999999999615e-01
1.800000000000000000e+01,5.600000000000000533e-01,9.998660000000000325e-01
1.800000000000000000e+01,5.999999999999999778e-01,3.297660000000000036e-01
1.800000000000000000e+01,6.400000000000000133e-01,7.281649999999999755e-03
1.800000000000000000e+01,6.800000000000000488e-01,2.078710000000000106e-03
1.800000000000000000e+01,7.199999999999999734e-01,4.918320000000000330e-03
1.800000000000000000e+01,7.600000000000000089e-01,3.345850000000000039e-03
1.800000000000000000e+01,8.000000000000000444e-01,2.308119999999999877e-03
1.800000000000000000e+01,8.399999999999999689e-01,2.918539999999999850e-03
1.800000000000000000e+01,8.800000000000000044e-01,2.802010000000000178e-03
1.800000000000000000e+01,9.200000000000000400e-01,3.273799999999999996e-04
1.800000000000000000e+01,9.599999999999999645e-01,2.399009999999999923e-04
1.800000000000000000e+01,1.000000000000000000e+00,9.744499999999999690e-04
2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+01,4.000000000000000083e-02,1.000000000000000000e+00
2.000000000000000000e+01,8.000000000000000167e-02,1.000000000000000000e+00
2.000000000000000000e+01,1.199999999999999956e-01,1.000000000000000000e+00
2.000000000000000000e+01,1.600000000000000033e-01,1.000000000000000000e+00
2.000000000000000000e+01,2.000000000000000111e-01,1.000000000000000000e+00
2.000000000000000000e+01,2.399999999999999911e-01,1.000000000000000000e+00
2.000000000000000000e+01,2.800000000000000266e-01,1.000000000000000000e+00
2.000000000000000000e+01,3.200000000000000067e-01,1.000000000000000000e+00
2.000000000000000000e+01,3.599999999999999867e-01,1.000000000000000000e+00
2.000000000000000000e+01,4.000000000000000222e-01,1.000000000000000000e+00
2.000000000000000000e+01,4.400000000000000022e-01,1.000000000000000000e+00
2.000000000000000000e+01,4.799999999999999822e-01,9.999829999999999552e-01
2.000000000000000000e+01,5.200000000000000178e-01,9.999829999999999552e-01
2.000000000000000000e+01,5.600000000000000533e-01,9.999730000000000008e-01
2.000000000000000000e+01,5.999999999999999778e-01,9.998789999999999623e-01
2.000000000000000000e+01,6.400000000000000133e-01,6.306080000000000366e-03
2.000000000000000000e+01,6.800000000000000488e-01,2.579849999999999852e-03
2.000000000000000000e+01,7.199999999999999734e-01,3.122579999999999800e-03
2.000000000000000000e+01,7.600000000000000089e-01,3.368069999999999918e-03
2.000000000000000000e+01,8.000000000000000444e-01,3.743600000000000139e-03
2.000000000000000000e+01,8.399999999999999689e-01,3.431029999999999844e-03
2.000000000000000000e+01,8.800000000000000044e-01,4.157740000000000047e-03
2.000000000000000000e+01,9.200000000000000400e-01,8.525120000000000397e-04
2.000000000000000000e+01,9.599999999999999645e-01,1.185300000000000025e-03
