epsilon,m_k10_r3333,m_k10_r4000,m_k10_r5000,m_k10_r9000,m_k20_r3333,m_k20_r4000,m_k20_r5000,m_k20_r9000
0.000000000000000000e+00,9.999993752997493601e-01,9.999993752997493601e-01,9.999993752997493601e-01,9.999993752997493601e-01,9.999999999998703260e-01,9.999999999998703260e-01,9.999999999998703260e-01,9.999999999998703260e-01
1.250000000000000069e-02,9.999993637125144108e-01,9.999993637125144108e-01,9.999993637125144108e-01,9.999993637125144108e-01,9.999999999998597788e-01,9.999999999998597788e-01,9.999999999998597788e-01,9.999999999998597788e-01
2.500000000000000139e-02,9.999993285209345384e-01,9.999993285209345384e-01,9.999993285209345384e-01,9.999993285209345384e-01,9.999999999998295808e-01,9.999999999998295808e-01,9.999999999998295808e-01,9.999999999998295808e-01
3.750000000000000555e-02,9.999992684194258796e-01,9.999992684194258796e-01,9.999992684194258796e-01,9.999992684194258796e-01,9.999999999997729594e-01,9.999999999997729594e-01,9.999999999997729594e-01,9.999999999997729594e-01
5.000000000000000278e-02,9.999991811782558138e-01,9.999991811782558138e-01,9.999991811782558138e-01,9.999991811782558138e-01,9.999999999996834754e-01,9.999999999996834754e-01,9.999999999996834754e-01,9.999999999996834754e-01
6.250000000000000000e-02,9.999990635607940437e-01,9.999990635607940437e-01,9.999990635607940437e-01,9.999990635607940437e-01,9.999999999995453637e-01,9.999999999995453637e-01,9.999999999995453637e-01,9.999999999995453637e-01
7.500000000000001110e-02,9.999989112034016747e-01,9.999989112034016747e-01,9.999989112034016747e-01,9.999989112034016747e-01,9.999999999993397504e-01,9.999999999993397504e-01,9.999999999993397504e-01,9.999999999993397504e-01
8.750000000000000833e-02,9.999987184534910867e-01,9.999987184534910867e-01,9.999987184534910867e-01,9.999987184534910867e-01,9.999999999990355493e-01,9.999999999990355493e-01,9.999999999990355493e-01,9.999999999990355493e-01
1.000000000000000056e-01,9.999984781597269778e-01,9.999984781597273109e-01,9.999984781597273109e-01,9.999984781597273109e-01,9.999999999985860200e-01,9.999999999985860200e-01,9.999999999985860200e-01,9.999999999985860200e-01
1.125000000000000028e-01,9.999981814065916907e-01,9.999981814065916907e-01,9.999981814065918018e-01,9.999981814065918018e-01,9.999999999979252152e-01,9.999999999979252152e-01,9.999999999979252152e-01,9.999999999979252152e-01
1.250000000000000000e-01,9.999978171834253970e-01,9.999978171834253970e-01,9.999978171834257301e-01,9.999978171834257301e-01,9.999999999969538811e-01,9.999999999969538811e-01,9.999999999969538811e-01,9.999999999969538811e-01
1.375000000000000111e-01,9.999973719756412027e-01,9.999973719756412027e-01,9.999973719756408697e-01,9.999973719756408697e-01,9.999999999955265784e-01,9.999999999955265784e-01,9.999999999955266894e-01,9.999999999955266894e-01
1.500000000000000222e-01,9.999968292628994559e-01,9.999968292628994559e-01,9.999968292628994559e-01,9.999968292628994559e-01,9.999999999934282569e-01,9.999999999934282569e-01,9.999999999934289230e-01,9.999999999934289230e-01
1.625000000000000056e-01,9.999961689055545389e-01,9.999961689055545389e-01,9.999961689055544278e-01,9.999961689055544278e-01,9.999999999903463888e-01,9.999999999903463888e-01,9.999999999903469439e-01,9.999999999903469439e-01
1.750000000000000167e-01,9.999953663964936679e-01,9.999953663964936679e-01,9.999953663964936679e-01,9.999953663964936679e-01,9.999999999858185662e-01,9.999999999858185662e-01,9.999999999858192323e-01,9.999999999858192323e-01
1.875000000000000000e-01,9.999943919504862277e-01,9.999943919504862277e-01,9.999943919504860057e-01,9.999943919504860057e-01,9.999999999791677752e-01,9.999999999791677752e-01,9.999999999791673311e-01,9.999999999791673311e-01
2.000000000000000111e-01,9.999932093969947644e-01,9.999932093969947644e-01,9.999932093969949864e-01,9.999932093969949864e-01,9.999999999693961472e-01,9.999999999693961472e-01,9.999999999693969244e-01,9.999999999693969244e-01
2.125000000000000222e-01,9.999917748350638513e-01,9.999917748350638513e-01,9.999917748350636293e-01,9.999917748350636293e-01,9.999999999550421848e-01,9.999999999550421848e-01,9.999999999550422958e-01,9.999999999550422958e-01
2.250000000000000056e-01,9.999900349998817051e-01,9.999900349998817051e-01,9.999900349998814830e-01,9.999900349998814830e-01,9.999999999339550527e-01,9.999999999339550527e-01,9.999999999339550527e-01,9.999999999339550527e-01
2.375000000000000167e-01,9.999879252796813889e-01,9.999879252796813889e-01,9.999879252796812779e-01,9.999879252796812779e-01,9.999999999029768327e-01,9.999999999029768327e-01,9.999999999029770548e-01,9.999999999029770548e-01
2.500000000000000000e-01,9.999853673083516359e-01,9.999853673083516359e-01,9.999853673083516359e-01,9.999853673083516359e-01,9.999999998574685689e-01,9.999999998574685689e-01,9.999999998574685689e-01,9.999999998574685689e-01
2.625000000000000111e-01,9.999822660428647758e-01,9.999822660428647758e-01,9.999822660428642207e-01,9.999822660428642207e-01,9.999999997906139360e-01,9.999999997906139360e-01,9.999999997906138249e-01,9.999999997906138249e-01
2.750000000000000222e-01,9.999785062147710235e-01,9.999785062147710235e-01,9.999785062147705794e-01,9.999785062147705794e-01,9.999999996924020529e-01,9.999999996924020529e-01,9.999999996924023860e-01,9.999999996924023860e-01
2.875000000000000333e-01,9.999739480207132658e-01,9.999739480207132658e-01,9.999739480207134878e-01,9.999739480207134878e-01,9.999999995481232418e-01,9.999999995481232418e-01,9.999999995481233528e-01,9.999999995481233528e-01
3.000000000000000444e-01,9.999684218870501518e-01,9.999684218870501518e-01,9.999684218870501518e-01,9.999684218870500407e-01,9.999999993361708972e-01,9.999999993361708972e-01,9.999999993361714523e-01,9.999999993361714523e-01
3.125000000000000000e-01,9.999617221069520001e-01,9.999617221069523332e-01,9.999617221069523332e-01,9.999617221069520001e-01,9.999999990248017445e-01,9.999999990248017445e-01,9.999999990248018555e-01,9.999999990248018555e-01
3.250000000000000111e-01,9.999535991030161775e-01,9.999535991030157334e-01,9.999535991030157334e-01,9.999535991030156223e-01,9.999999985673867497e-01,9.999999985673867497e-01,9.999999985673864167e-01,9.999999985673864167e-01
3.375000000000000222e-01,9.999437500122617672e-01,9.999437500122617672e-01,9.999437500122617672e-01,9.999437500122616562e-01,9.999999978954206004e-01,9.999999978954206004e-01,9.999999978954203783e-01,9.999999978954203783e-01
3.500000000000000333e-01,9.999318072205126695e-01,9.999318072205128916e-01,9.999318072205128916e-01,9.999318072205128916e-01,9.999999969082689066e-01,9.999999969082689066e-01,9.999999969082687956e-01,9.999999969082687956e-01
3.625000000000000444e-01,9.999173243857744087e-01,9.999173243857742976e-01,9.999173243857742976e-01,9.999173243857748528e-01,9.999999954580950368e-01,9.999999954580950368e-01,9.999999954580950368e-01,9.999999954580953698e-01
3.750000000000000000e-01,9.998997593803710116e-01,9.998997593803712336e-01,9.998997593803712336e-01,9.998997593803712336e-01,9.999999933277173847e-01,9.999999933277173847e-01,9.999999933277173847e-01,9.999999933277177178e-01
3.875000000000000111e-01,9.998784534424747239e-01,9.998784534424746129e-01,9.998784534424746129e-01,9.998784534424746129e-01,9.999999901980874961e-01,9.999999901980874961e-01,9.999999901980874961e-01,9.999999901980877182e-01
4.000000000000000222e-01,9.998526056501872983e-01,9.998526056501871873e-01,9.998526056501871873e-01,9.998526056501875203e-01,9.999999856005055143e-01,9.999999856005055143e-01,9.999999856005055143e-01,9.999999856005056253e-01
4.125000000000000333e-01,9.998212416029593763e-01,9.998212416029591543e-01,9.998212416029591543e-01,9.998212416029593763e-01,9.999999788464294381e-01,9.999999788464294381e-01,9.999999788464294381e-01,9.999999788464287720e-01
4.250000000000000444e-01,9.997831748982174416e-01,9.997831748982169975e-01,9.997831748982169975e-01,9.997831748982171085e-01,9.999999689243518342e-01,9.999999689243517231e-01,9.999999689243517231e-01,9.999999689243513901e-01
4.375000000000000000e-01,9.997369596009866299e-01,9.997369596009859638e-01,9.997369596009859638e-01,9.997369596009866299e-01,9.999999543483173436e-01,9.999999543483170106e-01,9.999999543483170106e-01,9.999999543483167885e-01
4.500000000000000111e-01,9.996808313852306727e-01,9.996808313852305616e-01,9.996808313852305616e-01,9.996808313852306727e-01,9.999999329353743693e-01,9.999999329353742583e-01,9.999999329353742583e-01,9.999999329353743693e-01
4.625000000000000222e-01,9.996126343257126790e-01,9.996126343257127900e-01,9.996126343257127900e-01,9.996126343257120128e-01,9.999999014786409290e-01,9.999999014786409290e-01,9.999999014786409290e-01,9.999999014786412621e-01
4.750000000000000333e-01,9.995297293612820377e-01,9.995297293612818157e-01,9.995297293612818157e-01,9.995297293612823708e-01,9.999998552670085195e-01,9.999998552670085195e-01,9.999998552670085195e-01,9.999998552670079643e-01
4.875000000000000444e-01,9.994288791182146525e-01,9.994288791182146525e-01,9.994288791182146525e-01,9.994288791182146525e-01,9.999997873795350989e-01,9.999997873795346548e-01,9.999997873795346548e-01,9.999997873795350989e-01
5.000000000000000000e-01,9.993061018966422626e-01,9.993061018966419295e-01,9.993061018966419295e-01,9.993061018966419295e-01,9.999996876488256303e-01,9.999996876488250752e-01,9.999996876488250752e-01,9.999996876488255193e-01
5.125000000000000666e-01,9.991564849033336415e-01,9.991564849033339746e-01,9.991564849033339746e-01,9.991564849033344187e-01,9.999995411380566690e-01,9.999995411380564470e-01,9.999995411380564470e-01,9.999995411380561139e-01
5.250000000000000222e-01,9.989739428093731277e-01,9.989739428093727946e-01,9.989739428093727946e-01,9.989739428093735718e-01,9.999993259034004600e-01,9.999993259034006821e-01,9.999993259034006821e-01,9.999993259034004600e-01
5.374999999999999778e-01,9.987509016801714434e-01,9.987509016801715545e-01,9.987509016801715545e-01,9.987509016801714434e-01,9.999990097063489181e-01,9.999990097063489181e-01,9.999990097063489181e-01,9.999990097063486960e-01
5.500000000000000444e-01,9.984778790141022320e-01,9.984778790141017879e-01,9.984778790141017879e-01,9.984778790141022320e-01,9.999985451827485550e-01,9.999985451827483329e-01,9.999985451827483329e-01,9.999985451827478888e-01
5.625000000000000000e-01,9.981429158481802677e-01,9.981429158481808228e-01,9.981429158481804897e-01,9.981429158481802677e-01,9.999978627432680733e-01,9.999978627432677403e-01,9.999978627432677403e-01,9.999978627432671852e-01
5.750000000000000666e-01,9.977307926939481542e-01,9.977307926939481542e-01,9.977307926939479321e-01,9.977307926939483762e-01,9.999968601381958866e-01,9.999968601381956645e-01,9.999968601381956645e-01,9.999968601381959976e-01
5.875000000000000222e-01,1.218377722203298121e-03,9.972219200219522017e-01,9.972219200219526458e-01,9.972219200219524238e-01,9.999953871154536600e-01,9.999953871154535490e-01,9.999953871154535490e-01,9.999953871154538820e-01
6.000000000000000888e-01,9.965907214690724603e-01,9.965907214690725713e-01,9.965907214690725713e-01,9.965907214690724603e-01,9.999932228561799752e-01,9.999932228561798642e-01,9.999932228561798642e-01,9.999932228561801972e-01
6.125000000000000444e-01,9.958031933985136419e-01,9.958031933985138640e-01,9.958031933985136419e-01,9.958031933985138640e-01,9.999900427697290262e-01,9.999900427697288041e-01,9.999900427697288041e-01,9.999900427697288041e-01
6.250000000000000000e-01,9.948130601323666999e-01,9.948130601323664779e-01,9.948130601323666999e-01,9.948130601323664779e-01,9.999853695911762319e-01,9.999853695911762319e-01,9.999853695911763429e-01,9.999853695911763429e-01
6.375000000000000666e-01,6.694910019241730919e-04,6.013884591317185477e-04,6.694910019240185931e-04,9.935553872277756993e-01,9.999785012757000935e-01,9.999785012757000935e-01,9.999785012757000935e-01,9.999785012757000935e-01
6.500000000000000222e-01,6.090840285351121781e-04,6.607330850887076093e-04,6.607329069441331051e-04,9.919352340289029346e-01,9.999684044970327257e-01,9.999684044970327257e-01,9.999684044970325036e-01,9.999684044970327257e-01
6.625000000000000888e-01,6.464480842009898099e-04,5.018023612468404697e-04,6.464480842007499844e-04,9.898056258553671327e-01,9.999535569445291427e-01,9.999535569445291427e-01,9.999535569445288097e-01,9.999535569445291427e-01
6.750000000000000444e-01,6.133020461520004383e-04,5.855987126990429021e-04,5.067378887624504049e-04,9.869192062746257044e-01,9.999317129386575687e-01,9.999317129386574576e-01,9.999317129386574576e-01,9.999317129386575687e-01
6.875000000000000000e-01,5.139774270699801716e-04,7.112220999458494092e-04,6.801677201253660985e-04,9.828005814803890683e-01,9.998995531930613412e-01,9.998995531930608971e-01,9.998995531930606750e-01,9.998995531930613412e-01
7.000000000000000666e-01,5.867965898696504094e-04,5.867965898696504094e-04,5.816611735613483715e-04,9.762805328532585536e-01,9.998521573235701343e-01,9.998521573235703563e-01,9.998521573235701343e-01,9.998521573235701343e-01
7.125000000000000222e-01,5.803089301746980908e-04,5.803089301746980908e-04,7.174756667828101429e-04,5.803089301746179682e-04,5.288734364066869547e-04,5.288734364064655606e-04,5.430017389103939046e-04,9.997822002652537732e-01
7.250000000000000888e-01,7.021701212515486313e-04,5.857177722798803752e-04,7.021701212515486313e-04,5.023910750451333375e-04,5.479576306005912341e-04,5.293371682101203702e-04,5.293371682101827118e-04,9.996787076892500457e-01
7.375000000000000444e-01,6.559692853487240948e-04,6.150798286498011585e-04,6.150634560052885454e-04,6.470960710900787016e-04,5.507470888423070775e-04,5.293882889063569481e-04,5.293882889063470818e-04,9.995250820469998576e-01
7.500000000000000000e-01,5.091414469798853518e-04,6.305093288484108676e-04,6.305093288278366135e-04,6.305093268408774052e-04,5.293542426898738404e-04,5.293542426898738404e-04,5.293542426900826577e-04,9.992958636885709289e-01
7.625000000000000666e-01,6.760753920720682193e-04,6.263223364588007191e-04,6.263223364588007191e-04,6.263223364583741940e-04,5.538901753853856013e-04,5.293046176758771067e-04,5.293046176758771067e-04,9.989511539515313343e-01
7.750000000000000222e-01,6.817733034282724095e-04,6.817733034282724095e-04,5.145354888652447188e-04,6.222799575477441086e-04,5.547837210857224817e-04,5.292598206015984141e-04,5.292598206015984141e-04,9.984263332817782111e-01
7.875000000000000888e-01,6.872726308092914687e-04,5.172813582088795197e-04,5.172813582088787608e-04,5.172813582086965064e-04,5.554044582575047616e-04,5.292248555024003801e-04,5.292248555024003801e-04,9.976111600182445693e-01
8.000000000000000444e-01,6.925408822330925227e-04,5.198133245837374293e-04,6.925408822330925227e-04,6.146731822376621775e-04,5.558340576450197844e-04,5.291994625328028026e-04,5.291994625328028026e-04,9.963006973193920812e-01
8.125000000000000000e-01,6.111231771425065925e-04,5.218516925538450434e-04,6.975387684302240083e-04,6.111231771427726557e-04,5.561302704598750394e-04,5.291818229359806320e-04,5.291818229359806320e-04,5.291818229358071597e-04
8.250000000000000666e-01,5.373565977356634929e-04,5.262401677532905098e-04,5.262401677532905098e-04,7.022256293356349353e-04,5.563339014463218862e-04,5.291699512508539266e-04,5.291699512508539266e-04,5.563339014461631590e-04
8.375000000000000222e-01,5.423954400727583856e-04,5.274140843104223883e-04,5.274140843104223883e-04,6.045015494915361668e-04,5.564735827710002225e-04,5.291621626742683835e-04,5.291621626742683835e-04,5.291621626740730102e-04
8.500000000000000888e-01,5.454818563290471725e-04,5.279723158479225024e-04,5.279723158479225024e-04,5.454818563286716049e-04,5.565692565393713740e-04,5.291571697969301401e-04,5.291571697969301401e-04,5.291571697968381997e-04
8.625000000000000444e-01,5.477121175241218397e-04,5.283007706340244695e-04,5.283007706340244695e-04,5.283007706340244695e-04,5.566347268431286232e-04,5.291540437829356062e-04,5.291540437829356062e-04,5.291540437828339081e-04
8.750000000000000000e-01,5.494215563259814000e-04,5.285115518796767867e-04,5.285115518796767867e-04,5.494215563258146497e-04,5.566795050499313748e-04,5.291521385319940003e-04,5.291521385319940003e-04,5.291521385318233468e-04
8.875000000000000666e-01,5.507704583680389596e-04,5.286541258082751854e-04,5.286541258082751854e-04,5.286541258081320707e-04,5.567101235487584374e-04,5.291510161034809106e-04,5.291510161034809106e-04,5.291510161033541673e-04
9.000000000000000222e-01,5.518524268955993023e-04,5.287544172945442831e-04,5.287544172945442831e-04,5.518524268955993023e-04,5.567310590380367000e-04,5.291503856062788284e-04,5.291503856062788284e-04,5.291503856061766965e-04
9.125000000000000888e-01,5.527289181116256224e-04,5.288273380932507128e-04,5.288273380932507128e-04,5.527289181116256224e-04,5.567453751670485606e-04,5.291500571762001223e-04,5.291500571762001223e-04,5.567453751670485606e-04
9.250000000000000444e-01,5.534434211797353278e-04,5.288819650955476747e-04,5.288819650955476747e-04,5.534434211797353278e-04,5.567551667951722155e-04,5.291499089418455351e-04,5.291499089418455351e-04,5.567551667951722155e-04
9.375000000000000000e-01,5.540282747349040181e-04,5.289240336333707803e-04,5.289240336333707803e-04,5.540282747349040181e-04,5.567618656850992524e-04,5.291498640357001097e-04,5.291498640357001097e-04,5.567618656850992524e-04
9.500000000000000666e-01,5.545083372522829554e-04,5.289572649404232626e-04,5.289572649404232626e-04,5.545083372522829554e-04,5.567664502030083250e-04,5.291498749387532011e-04,5.291498749387532011e-04,5.567664502030083250e-04
9.625000000000000222e-01,5.549031484439001126e-04,5.289841233831569112e-04,5.289841233831569112e-04,5.549031484439001126e-04,5.567695888821066336e-04,5.291499129979857245e-04,5.291499129979857245e-04,5.567695888821066336e-04
9.750000000000000888e-01,5.552283000115379149e-04,5.290062697654595875e-04,5.290062697654595875e-04,5.552283000115379149e-04,5.567717385893303879e-04,5.291499615022409158e-04,5.291499615022409158e-04,5.567717385893303879e-04
9.875000000000000444e-01,5.554963604979663806e-04,5.290248420872674384e-04,5.290248420872674384e-04,5.554963604979663806e-04,5.567732116004531868e-04,5.291500111682673072e-04,5.291500111682673072e-04,5.567732116004531868e-04
1.000000000000000000e+00,5.557175317186913805e-04,5.290406336748582896e-04,5.290406336748582896e-04,5.557175317186913805e-04,5.567742214148099951e-04,5.291500572337950016e-04,5.291500572337950016e-04,5.567742214148099951e-04
